place,title,time,pay,date
서울 서초구, 성원아이북랜드 서초영업본부,14:00~20:00,"월급700,000",14분전
서울 서초구, 성원아이북랜드 서초영업본부,14:00~20:00,"월급700,000",15분전
서울 서초구, 성원아이북랜드 서초영업본부,14:00~20:00,"월급700,000",15분전
대구 북구, 성원아이북랜드 대구서북부영업본부,09:00~18:00,"건별35,000",22분전
서울 전체, 성원아이북랜드 동대문중랑성동영업본부,10:00~18:00,"월급1,500,000",34분전
서울 전체, 성원아이북랜드 동대문중랑성동영업본부,10:00~18:00,"월급1,500,000",36분전
서울 성북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",2시간전
서울 성북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급700,000",2시간전
경기 용인시, 성원아이북랜드 용인영업본부,13:30~20:30,"건별1,330,000",5시간전
경기 용인시, 성원아이북랜드 용인영업본부,13:30~20:30,"건별1,330,000",5시간전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",5시간전
경기 용인시, 성원아이북랜드 용인영업본부,13:30~20:30,"건별1,330,000",5시간전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",5시간전
경기 고양시, 성원아이북랜드 덕양영업본부,14:00~20:00,"시급10,000",5시간전
서울 금천구, 성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",5시간전
서울 구로구, 성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",5시간전
경기 광명시, 성원아이북랜드 구로금천광명영업본부,14:00~20:00,"월급1,000,000",5시간전
세종 고운동, 성원아이북랜드 세종영업본부,10:00~12:00,"건별20,000",5시간전
경북 영주시, 성원아이북랜드 경북북부영업본부,16:00~20:00,"시급20,000",5시간전
경북 영주시, 성원아이북랜드 경북북부영업본부,16:00~20:00,"시급15,000",5시간전
대구 남구, 성원아이북랜드 대구달서달성영업본부,10:00~20:00,"월급1,000,000",5시간전
대구 달서구, 성원아이북랜드 대구달서달성영업본부,10:00~19:00,"월급900,000",5시간전
대구 달서구, 성원아이북랜드 대구달서달성영업본부,10:00~19:00,"월급900,000",5시간전
대구 동구, 성원아이북랜드 대구동부시지영업본부,14:00~20:00,"건별35,000",6시간전
경기 부천시, 성원아이북랜드 부천부평영업본부,13:00~19:00,"건별30,000",6시간전
인천 부평구, 성원아이북랜드 부천부평영업본부,13:00~19:00,"건별30,000",6시간전
경기 시흥시, 성원아이북랜드 시흥영업본부,14:00~20:00,"건별35,000",7시간전
서울 양천구, 성원아이북랜드 강서양천영업본부,14:00~20:00,"건별35,000",7시간전
서울 강서구, 성원아이북랜드 강서양천영업본부,14:00~20:00,"건별35,000",7시간전
서울 영등포, 성원아이북랜드 강서양천영업본부,14:00~20:00,"건별35,000",7시간전
서울 성북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"시급10,000",7시간전
서울 전체, 성원아이북랜드 동대문중랑성동영업본부,10:00~18:00,"월급1,500,000",8시간전
서울 노원구, 성원아이북랜드 노원도봉영업본부,시간협의,"월급600,000",9시간전
서울 도봉구, 성원아이북랜드 노원도봉영업본부,시간협의,"월급600,000",9시간전
경남 양산시, 성원아이북랜드 부산북구양산영업본부,시간협의,"월급1,500,000",9시간전
경기 남양주, 성원아이북랜드 구리남양주영업본부,시간협의,"시급15,000",13시간전
강원 춘천시, 성원아이북랜드 구리남양주영업본부,시간협의,"시급15,000",13시간전
경기 남양주, 성원아이북랜드 구리남양주영업본부,시간협의,"시급15,000",13시간전
경기 남양주, 성원아이북랜드 구리남양주영업본부,시간협의,"시급15,000",13시간전
경기 가평군, 성원아이북랜드 구리남양주영업본부,시간협의,"시급15,000",13시간전
경기 구리시, 성원아이북랜드 광진구리영업본부,시간협의,"월급500,000",13시간전
서울 광진구, 성원아이북랜드 광진구리영업본부,시간협의,"월급500,000",13시간전
서울 광진구, 성원아이북랜드 광진구리영업본부,시간협의,"월급500,000",13시간전
서울 광진구, 성원아이북랜드 광진구리영업본부,시간협의,"월급500,000",14시간전
서울 광진구, 성원아이북랜드 광진구리영업본부,14:00~20:00,"월급500,000",14시간전
경기 성남시, 성원아이북랜드 성남분당영업본부,10:00~20:00,"시급15,000",04/04
경기 성남시, 성원아이북랜드 성남분당영업본부,10:00~20:00,"시급15,000",04/04
경기 평택시, 성원아이북랜드 평택안성영업본부,시간협의,"건별10,000",04/04
충남 천안시, 성원아이북랜드 천안영업본부,14:00~20:00,"월급1,500,000",04/04
충남 천안시, 성원아이북랜드 천안영업본부,14:00~20:00,"월급1,500,000",04/04
충남 천안시, 성원아이북랜드 천안영업본부,14:00~20:00,"월급1,500,000",04/04
서울 서대문, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,500,000",04/03
서울 마포구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"건별35,000",04/03
서울 은평구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,200,000",04/03
서울 은평구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,000,000",04/03
서울 은평구, 성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"월급1,000,000",04/03
경북 안동시, 성원아이북랜드 경북북부영업본부,15:00~20:00,"시급15,000",04/03
제주 제주시, 성원아이북랜드 제주영업본부,시간협의,"시급15,000",04/03
제주 제주시, 성원아이북랜드 제주영업본부,시간협의,"시급15,000",04/03
경기 평택시, 성원아이북랜드 평택안성영업본부,시간협의,"건별15,000",04/03
경기 성남시, 성원아이북랜드 성남분당영업본부,10:00~20:00,"시급15,000",04/03
경기 성남시, 성원아이북랜드 성남분당영업본부,10:00~20:00,"시급15,000",04/03
대구 동구, 성원아이북랜드 대구동부시지영업본부,시간협의,"건별35,000",04/03
대구 북구, 성원아이북랜드 대구동부시지영업본부,14:00~20:00,"건별35,000",04/03
경기 안산시, 성원아이북랜드 안산영업본부,10:00~12:00,"시급15,000",04/03
경기 안산시, 성원아이북랜드 안산영업본부,13:30~18:00,"시급15,000",04/03
경기 안산시, 성원아이북랜드 안산영업본부,13:30~18:00,"시급15,000",04/03
경남 양산시, 성원아이북랜드 부산북구양산영업본부,시간협의,"시급15,000",04/02
부산 북구, 성원아이북랜드 부산북구양산영업본부,10:00~17:00,"시급15,000",04/02
대구 북구, 성원아이북랜드 대구서북부영업본부,09:00~18:00,"건별35,000",03/31
경기 평택시, 성원아이북랜드 평택안성영업본부,시간협의,"건별15,000",03/30
인천 부평구, 성원아이북랜드 부천부평영업본부,13:00~19:00,"건별30,000",03/30
대구 수성구, 성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",03/30
대구 동구, 성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",03/30
대구 수성구, 성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",03/30
대구 수성구, 성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",03/30
대구 수성구, 성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",03/30
대구 수성구, 성원아이북랜드 대구동부시지영업본부,14:00~20:00,"건별35,000",03/30
경북 영천시, 성원아이북랜드 대구동부시지영업본부,14:00~20:00,"건별35,000",03/30
서울 강남구, 성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",03/29
서울 강남구, 성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",03/29
서울 강남구, 성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",03/29
대전 서구, 성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급20,000",03/29
대전 서구, 성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급20,000",03/29
대전 서구, 성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급20,000",03/29
대전 서구, 성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급20,000",03/29
대전 서구, 성원아이북랜드 대전둔산유성영업본부,10:00~16:00,"시급20,000",03/29
경기 광주시, 성원아이북랜드 경기광주영업본부,시간협의,"시급15,000",03/27
서울 서초구, 성원아이북랜드 성원아이북랜드 본사,시간협의,"월급1,000,000",03/27
경기 광주시, 성원아이북랜드 경기광주영업본부,시간협의,"시급15,000",03/26
경기 안산시, 성원아이북랜드 안산영업본부,시간협의,"시급15,000",03/23
경기 안산시, 성원아이북랜드 안산영업본부,시간협의,"시급15,000",03/23
서울 도봉구, 성원아이북랜드 노원도봉영업본부,시간협의,"월급600,000",03/23
서울 서초구, 성원아이북랜드 성원아이북랜드 본사,시간협의,"월급1,000,000",03/22
서울 강남구, 성원아이북랜드 강남영업본부,14:00~20:00,"월급1,000,000",03/22
광주 서구, 성원아이북랜드 광주남구에이스영업본부,15:00~20:00,"월급1,000,000",03/22
경기 화성시, 성원아이북랜드 오산화성영업본부,10:00~18:00,"월급1,513,792",03/22
경기 김포시, 성원아이북랜드 인천부천김포영업본부,14:00~20:00,"월급700,000",03/22
경기 김포시, 성원아이북랜드 인천부천김포영업본부,14:00~20:00,"월급700,000",03/22
대구 북구, 성원아이북랜드 대구서북부영업본부,14:00~20:00,"건별35,000",03/22
서울 서초구, 성원아이북랜드 성원아이북랜드 본사,시간협의,"월급1,000,000",03/21
경기 시흥시, 성원아이북랜드 시흥영업본부,14:00~20:00,"시급10,000",03/21
충남 아산시, 성원아이북랜드 아산영업본부,14:00~20:00,"건별20,000",03/21
충남 아산시, 성원아이북랜드 아산영업본부,13:00~20:00,"건별20,000",03/21
충남 아산시, 성원아이북랜드 아산영업본부,14:00~19:00,"건별20,000",03/21
충남 당진시, 성원아이북랜드 아산영업본부,14:00~20:00,"건별20,000",03/21
충남 당진시, 성원아이북랜드 아산영업본부,13:00~20:00,"건별20,000",03/21
경기 의정부, 성원아이북랜드 경기북부영업본부,15:00~19:00,"월급1,500,000",03/21
경기 의정부, 성원아이북랜드 경기북부영업본부,15:00~19:00,"월급1,500,000",03/21
경기 의정부, 성원아이북랜드 경기북부영업본부,15:00~19:00,"월급1,500,000",03/21
경기 의정부, 성원아이북랜드 경기북부영업본부,15:00~19:00,"월급1,500,000",03/21
경기 의정부, 성원아이북랜드 경기북부영업본부,15:00~19:00,"월급1,500,000",03/21
충북 청주시, 성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",03/21
충북 청주시, 성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",03/21
충북 청주시, 성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",03/21
경기 성남시, 성원아이북랜드 성남분당영업본부,10:00~20:00,"시급15,000",03/21
울산 전체, 성원아이북랜드 아이리더스쿨 울산사업국,13:00~17:00,"건별40,000",03/21
